County,District Name,District Type,Grade Levels,"Number of Schools
(2021-22)",High School Partner District if Elementary,Total # of Jurisdictions Per School District,"Jurisdiction Name
(list on separate line for each jurisdiction)","Student Enrollment 
(2021-22)","# of Certificated Teachers
(2018-19)","Expense of Education per ADA 
(2020-21)","% Unduplicated 
(2021-22)","% FRM 
(2021-22)","% English Learners 
(2021-22)","Total GO Bonds and Parcel Taxes Attempted 
(2000 - 2029)","Total GO Bonds and Parcel Taxes Passed 
(2000 - 2029)","Most Recent Passed GO Bond Measure Year
(2000-2029) ","Total Amount of GO Bond Measure Funding ($)
(2000-2029)",Average CalEnviroScreen Pollution Burden,Average Cal EnviroScreen Percentile,"Green Ribbon District
1 (Yes) 0 (No)",Green Ribbon Highest District Level Achievement,"Green Ribbon for Individual Schools within District
1 (Yes) 0 (No)",Board Policies Link,"Policies List 
(enter a separate line for each)","BP: 3510 Green Schools Operations 
1 (Yes) 0 (No)",BP: 3510 Year Adopted,BP: 3510 Most Recent Update/Revision,"BP: 3511 Energy And Water Management 
1 (Yes) 0 (No)",BP: 3511 Year Adopted ,BP: 3511 Most Recent Update/Revision,"BP: 3511.1 Integrated Waste Management
1 (Yes) 0 (No)",BP: 3511.1 Year Adopted,BP: 3511.1 Most Recent Update/Revision,"BP: 3514 Environmental Safety
1 (Yes) 0 (No)",BP: 3514 Year Adopted,BP: 3514 Most Recent Update/Revision,"BP: 3514.1 Hazardous Substances
1 (Yes) 0 (No)",BP: 3514.1 Year Adopted,BP: 3514.1 Most Recent Update/Revision,"BP: 6142.5 Environmental Education
1 (Yes) 0 (No)",BP: 6142.5 Year Adopted,BP: 6142.5 Most Recent Update/Revision,"BP:7110 Facilities Master Plan
1 (Yes) 0 (No)",BP:7110 Year Adopted,BP: 7110 Most Recent Update/Revision,Total Approved Policies,"Published Facilities Master Plan
1 (Yes) 0 (No)",FMP Year Adopted,FMP Year Most Recent Revision/Update,FMP Link,"Climate Change Resolutions / Climate Emergency Declarations
1 (Yes) 0 (No)","Climate Change Resolutions / Climate Emergency Declarations 
Year Adopted ","Climate Change Resolutions / Climate Emergency Declarations
Most Recent Update/Revision","Climate Change Resolutions / Climate Emergency Declarations
Notes","Other Board Policies, Resolutions, and Declarations 
(list each as a hyperlink and on a separate line)","District-Wide Sustainability Initiatives
1 (Yes) 0 (No)","District-Wide Evidence of Campus Sustainability
1 (Yes) 0 (No)","District-Wide Evidence of Environmental Literacy Curriculum
1 (Yes) 0 (No)","District-Wide Evidence of Community and Culture Sustainability
1 (Yes) 0 (No)","District-Wide Sustainability Website
1 (Yes) 0 (No)","Sustainability Initiatives Notes
(District and Site-Level)","District-Wide Sustainability Staff
1 (Yes) 0 (No)","District-Wide Campus Sustainability Related Job
1 (Yes) 0 (No)","District-Wide Environmental Literacy Curriculum and Community and Culture Related Job
1 (Yes) 0 (No)","Site-Level Environmental Literacy Curriculum and Community and Culture Related Job 
1 (Yes) 0 (No)","Sustainability Staff Notes
(District and Site-Level)"
San Diego,La MesaSpring Valley,Elementary School District,K-08,24,N/A,3,"El Cajon
La Mesa
Spring Valley","11,204",501,"$18,768",64.81 %,61.9 %,18.1 %,2,2,"2,020","180,000,000",36.649,41,0,N/A,0,La Mesa Spring Valley BP,"3511
3511.1
3514
3514.1
6142.5
7110",0,N/A,N/A,1,2009,2009,1,2012,2021,1,2018,2018,1,2018,2018,1,2008,2021,1,2012,2012,6,1,2020,*,La Mesa Spring FMP,,,,,,0,0,0,0,0,N/A,0,0,0,0,N/A
San Diego,Lemon Grove,Elementary School District, K-08,6,N/A,2,"La Mesa
Lemon Grove","3,249",174,"$18,582",74.08 %,68.7 %,25.1 %,2,2,"2,014","38,000,000",40.4435,52,0,N/A,0,Lemon Grove BP,"3511
3511.1
3514
3514.1
6142.5
7110",0,N/A,N/A,1,2019,*,1,2018,*,1,2018,2018,1,2018,2018,0,N/A,N/A,1,2018,*,6,1,2021,*,Lemon Grove FMP,,,,,,0,0,0,0,0,N/A,0,0,0,0,N/A
San Diego,Mountain Empire Unified,Unified School District,K-12,16,N/A,9,"Boulevard
Campo
 Descanso
Escondido
Pine Valley
Potrero
San Diego
Temecula
Thousand Oaks","4,042",249,"$20,768",28.86 %,52.7 %,17.8 %,3,1,2018,"15,000,000",43.6226,60.15,0,N/A,0,Mountain Empire BP,"3510
3511
3511.1
3514
3514.1
6142.5
7110",1,2017,*,1,2017,*,1,2017,*,1,2017,*,1,2017,*,0,N/A,N/A,1,2017,*,6,0,N/A,N/A,N/A,,,,,,0,1,0,0,0,Solar Projects,0,0,0,0,N/A
San Diego,National Elementary,Elementary School District,K-08,12,N/A,1,National City,"4,820",288,"$17,768",80.46 %,75.7 %,53.4 %,2,2,2016,"56,100,000",47.6686,71.59,0,N/A,0,National Elementary BP,"3510
3511
3511.1
3514
3514.1
7110",1,2009,2019,1,2008,2019,1,2013,*,1,2018,*,1,2013,*,0,N/A,N/A,1,2002,*,6,0,N/A,N/A,N/A,,,,,,0,0,1,0,0,Ocean Connectors (marine science education program),0,0,0,0,0
San Diego,Oceanside Unified,Unified School District,K-12,26,N/A,1,Oceanside,"18,671",934,"$17,994",62.94 %,66.3 %,12.5 %,3,3,2020,"485,000,000",44.2463,62,0,N/A,0,Oceanside BP,"3510
3511
3514
3514.1
7110",0,N/A,N/A,1,2017,2022,0,N/A,N/A,1,2019,2019,1,2019,2019,0,N/A,N/A,1,2011,2023,5,1,2021,*,Oceanside FMP,,,,,,0,0,0,0,0,CTE Environmental Innovation and Engineering Academy,0,0,0,1,CTE Environmental Innovation and Engineering Academy
San Diego,Poway Unified,Unified School District, K-12,38,N/A,2,"Poway
San Diego","35,192",1570,"$14,082",20.57 %,14.5 %,8.7 %,5,2,2002,"193,000,000",29.2897,18,0,N/A,0,Poway BP,"3510
3511
3514
7110",1,2018,2019,1,2018,2019,0,N/A,N/A,1,2018,*,0,N/A,N/A,0,N/A,N/A,1,2018,*,4,1,2020,*,Poway FMP,,,,,,0,0,0,0,0,Sustainable Ag in the CTE Ag Pathway,0,0,0,1,Sustainable Ag in the CTE Ag Pathway
San Diego,Ramona City Unified,Unified School District,K-12,11,N/A,1,Ramona,"5,128",243,"$15,751",45.05 %,40.3 %,13.2 %,3,0,N/A,N/A,27.4268,12.64,0,N/A,0,Ramona City BP,"3514
3514.1
6142.5
7110",0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,1,2011,2020,1,2004,2018,1,2004,*,1,2005,*,4,0,N/A,N/A,N/A,,,,,,0,0,0,0,0,N/A,0,0,0,0,N/A
San Diego,Rancho Santa Fe Elementary,Elementary School District,K-08,2,N/A,1,Rancho Santa Fe,589,66,"$24,827",8.83 %,4.6 %,4.8 %,4,2,2008,"84,800,000",36.5913,41,0,N/A,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,,1,2015,*,Rancho Santa Fe FMP,,,,,,0,0,0,0,0,N/A,0,0,0,0,N/A
San Diego,San Diego Unified,Unified School District,K-12,217,N/A,2,"La Jolla
San Diego","114,467",6435,"$20,107",48.47,55.9 %,19.6 %,4,3,2018,"8,400,000,000",40.0063,51,1,Silver,1,San Diego Unified BP,"3510
3511
3511.1
3514
3514.1
7110",1,2017,2017,1,2017,*,1,2017,*,1,2017,*,1,2017,*,0,N/A,N/A,1,2017,*,6,1,2020,*,San Diego FMP,,,,,,0,1,0,0,0,"Energy/Utilities Management (Solar, recycling, water conservation),
Food Waste Program",1,1,0,0,Energy/Utilities Program Supervisor
San Diego,San Dieguito Union High,High School District,07-12,10,N/A,3,"Encinitas
San Diego
Solana Beach","12,704",563,"$14,509",20.97 %,18.6 %,4.7 %,1,1,2012,"449,000,000",35.0009,34.59,0,N/A,0,San Dieguito BP,"3510
3511
3511.1
3514.1",1,2022,*,1,2022,*,1,2022,*,0,N/A,N/A,1,2022,*,0,N/A,N/A,0,N/A,N/A,4,1,*,*,San Dieguito FMP,,,,,,0,1,0,0,0,Stormwater Management Strategies Handbook,0,0,0,0,"Executive Director of Operations has energy management in job description,
2 people on the Board have a sustainability/renewable energy background"
